date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:08	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:04:47%20GMT	http://societe-nettoyage-casablanca.com/images/step-separator.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/step-separator.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:08	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:04:36%20GMT	http://societe-nettoyage-casablanca.com/images/ok2.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/ok2.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:08	3095/3095	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:36%20GMT	http://societe-nettoyage-casablanca.com/images/ok3.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/ok3.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:08	953/953	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:54%20GMT	http://societe-nettoyage-casablanca.com/images/video-pattern-1.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/video-pattern-1.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:08	932/932	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:54%20GMT	http://societe-nettoyage-casablanca.com/images/video-pattern-2.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/video-pattern-2.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:09	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:04:46%20GMT	http://societe-nettoyage-casablanca.com/images/select-arrow.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/select-arrow.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:09	1461/1461	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jul%202019%2010:04:54%20GMT	http://societe-nettoyage-casablanca.com/images/twitter-bird.png	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/twitter-bird.png	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:09	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:01:35%20GMT	http://societe-nettoyage-casablanca.com/addons/jquery_loupe/blank.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/addons/jquery_loupe/blank.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:09	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:01:35%20GMT	http://societe-nettoyage-casablanca.com/addons/jquery_loupe/blank-2.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/addons/jquery_loupe/blank-2.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:10	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:02:10%20GMT	http://societe-nettoyage-casablanca.com/images/ajax-loader.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/ajax-loader.html	(from http://societe-nettoyage-casablanca.com/css/template.css)
14:47:10	493/493	---M--	200	added ('OK')	text/html	date:Thu,%2018%20Jul%202019%2010:04:46%20GMT	http://societe-nettoyage-casablanca.com/images/say_hi_smaller.html	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/societe-nettoyage-casablanca.com/images/say_hi_smaller.html	(from http://societe-nettoyage-casablanca.com/css/responsive.css)
14:47:11	121457/121457	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	C:/Users/hp/Desktop/pns%20nettoyage/pns%20nettoyage/maxcdn.bootstrapcdn.com/bootstrap/3.4.1/css/bootstrap.min.css	(from http://societe-nettoyage-casablanca.com/societe-nettoyage-casablanca.html)
